,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_blue_side_towers_taken,total_blue_side_inhibitors_destroyed,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_red_side_towers_taken,total_red_side_inhibitors_destroyed,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
0,2236,False,False,True,1074,24,29,48,74537,67750,25,87,192,7,1,1,6,2,0,1183,29,24,46,73718,71505,28,73,214,8,1,4,0,1,1
0,1239,True,False,False,629,12,18,17,37920,35283,18,66,142,3,0,0,6,0,1,620,18,12,30,37490,34485,22,50,112,1,0,3,0,0,0
0,1385,True,False,True,762,23,8,52,50376,45460,13,69,141,5,0,2,1,1,1,725,8,23,16,41858,38600,13,58,113,4,0,1,5,0,0
0,1531,False,False,True,864,26,18,44,57364,55175,20,52,151,11,2,3,5,1,0,789,18,26,26,46307,40118,11,67,137,2,0,1,1,0,1
0,1535,False,False,False,868,14,27,15,46306,44012,39,54,165,3,0,0,6,0,1,828,27,14,41,57250,48325,19,72,150,9,1,3,0,1,0
0,927,True,False,False,399,6,28,6,23541,20737,7,20,45,0,0,0,2,0,0,493,28,7,30,36192,34735,5,31,62,4,0,1,4,0,0
0,1933,False,False,True,867,35,17,70,66136,59310,38,66,185,9,2,1,5,1,1,1057,17,35,27,60578,59510,27,106,216,5,0,3,1,0,0
0,1763,False,False,True,814,36,24,83,61406,51975,29,75,196,8,1,2,6,0,1,862,23,36,35,53933,52565,26,74,175,2,0,3,0,1,0
0,2433,False,False,True,1279,26,28,63,81087,75825,29,95,230,7,1,5,6,1,1,1118,28,26,54,75677,72508,33,91,245,10,4,1,0,2,0
0,1814,True,False,False,893,24,29,38,58081,52510,23,99,210,6,0,2,1,1,0,804,28,24,56,61351,57875,32,75,172,7,1,3,5,1,1
0,1603,False,False,True,822,27,29,45,57364,49775,35,88,164,9,1,2,3,0,1,809,29,27,43,55409,53450,38,100,214,4,0,0,3,1,0
0,1447,False,False,True,824,23,20,32,55219,47225,39,57,151,9,1,1,6,1,1,781,20,23,39,45282,40783,23,72,156,1,0,2,0,0,0
0,1805,False,False,False,749,20,35,43,54893,53610,37,71,188,3,0,1,3,0,1,895,35,20,55,64247,57735,23,78,193,8,1,3,0,1,0
0,1466,False,False,False,676,17,32,32,43954,41850,17,56,149,3,0,0,4,0,0,751,32,17,55,55406,49308,20,67,168,9,1,3,2,1,0
0,1394,True,False,False,689,15,26,33,44126,41800,16,49,117,4,0,2,4,0,1,693,26,15,59,50784,45758,13,61,127,5,0,2,2,1,0
0,1658,False,False,True,871,41,25,73,63027,54225,30,81,195,8,1,4,3,1,1,772,25,41,39,51016,48318,22,63,137,1,0,0,0,0,0
0,1477,False,False,False,763,11,26,18,42875,39850,10,65,115,1,0,1,0,0,0,851,26,11,56,56593,49778,25,53,166,10,2,2,6,1,1
0,1453,False,False,True,706,26,25,46,51012,43800,20,62,142,8,1,2,3,0,1,713,25,26,29,46829,44675,19,57,144,3,0,0,3,0,0
0,1412,False,False,True,718,31,15,55,54052,44175,11,59,131,8,1,2,2,1,1,685,15,31,20,42666,41025,15,33,96,3,0,1,4,0,0
0,1560,False,False,True,773,33,13,67,57180,50700,21,65,171,9,1,3,4,1,0,752,13,33,26,44947,45725,23,50,136,1,0,0,2,0,1
0,1351,True,False,True,714,21,19,45,47060,42100,24,55,138,4,0,3,6,1,1,604,19,21,25,40069,37225,12,52,103,2,0,0,0,0,0
0,1478,False,False,True,870,28,10,50,57569,49000,35,75,206,10,2,1,3,1,1,798,10,28,18,43064,41125,28,63,121,1,0,2,0,0,0
0,1425,False,False,True,715,46,20,83,61006,54425,23,69,154,9,2,2,3,1,0,625,20,46,35,46321,44175,26,72,163,1,0,1,0,0,1
0,2031,False,False,False,966,39,26,67,69370,65805,35,80,209,7,1,2,5,0,1,1076,26,39,42,71166,62301,30,83,213,9,1,3,1,2,0
0,1582,False,False,True,843,38,16,52,60466,53650,34,54,139,9,1,3,0,1,1,774,16,38,25,48065,46525,23,76,173,1,0,1,6,0,0
0,1170,True,False,True,689,29,9,35,48304,41800,8,46,100,5,0,2,6,0,1,539,9,29,13,32723,31525,14,40,97,0,0,0,0,0,0
0,1711,False,False,True,875,43,27,74,66073,60750,15,80,186,10,3,3,3,0,1,724,27,43,42,55622,52968,22,66,170,2,0,0,3,1,0
0,1611,False,False,False,801,23,45,30,55105,51850,20,60,149,3,0,2,4,0,0,811,45,23,60,65057,59825,17,57,135,10,2,2,2,1,1
0,1903,True,False,True,960,32,32,69,68474,66275,32,81,229,7,2,1,6,1,0,861,32,32,62,60828,57000,34,93,211,3,0,2,0,0,1
0,1601,False,False,True,732,37,32,62,59491,52328,18,74,171,9,2,2,2,1,1,747,32,37,36,57646,54960,19,65,142,6,0,2,4,0,0
0,1159,True,False,True,621,29,14,35,45881,42755,10,48,103,6,1,1,6,0,1,520,14,29,18,31976,28683,7,39,80,0,0,2,0,0,0
0,913,True,False,False,471,4,15,5,24169,20950,9,24,60,0,0,1,3,0,0,536,15,4,11,31327,29600,7,38,68,2,0,1,3,0,1
0,1545,False,False,False,660,20,36,40,47588,47510,32,59,120,2,0,0,0,0,0,796,36,20,48,62588,56525,37,90,233,10,2,4,3,1,1
0,1236,True,False,False,566,26,42,38,44244,41135,8,45,87,2,0,0,2,0,0,649,42,27,54,53754,50110,16,48,111,6,0,2,4,0,1
