,total_blue_side_minions,total_blue_side_gold_earned,total_blue_side_wards_placed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_dragons_killed,total_blue_side_riftHeralds_killed,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_red_side_minions,total_red_side_gold_earned,total_red_side_kills,total_red_side_deaths,total_red_side_wards_placed,total_red_side_dragons_killed,total_red_side_riftHeralds_killed,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,blue_side_won
0,435,35613,35,17,16,2,1,2,0,458,36613,16,17,41,1,0,2,0,0
0,474,36775,32,14,14,1,0,3,0,474,35544,14,14,267,1,1,2,0,1
0,494,32947,34,9,23,1,0,1,0,413,38977,23,9,63,1,1,5,0,1
0,423,41514,37,27,19,0,1,4,0,349,33175,19,27,29,2,0,1,0,1
0,431,35352,36,21,24,2,0,1,0,381,37179,24,21,41,0,1,2,0,1
0,433,31474,60,11,11,1,0,0,0,487,34247,11,11,40,1,1,2,0,0
0,369,36965,31,24,29,2,0,0,0,400,41177,29,24,34,1,0,6,1,0
0,426,38319,37,23,25,2,1,2,0,371,38706,25,23,35,0,0,4,0,1
0,410,38099,45,24,18,0,0,0,0,461,37935,18,24,24,2,2,4,0,0
0,497,48354,39,33,18,1,1,7,0,371,34203,18,33,153,1,0,0,0,1
0,433,35973,39,14,23,1,1,1,0,477,38993,23,14,42,1,0,5,0,0
0,462,39061,47,20,13,2,0,2,0,351,31682,13,20,29,0,1,3,0,0
0,411,31203,38,12,7,1,0,1,0,439,30809,7,12,37,1,1,4,0,1
0,408,34900,37,19,10,2,1,1,0,453,32541,10,19,38,1,0,2,0,1
0,370,32398,31,14,23,1,0,0,0,381,39573,23,14,55,1,1,4,0,0
0,436,34102,33,12,22,1,1,2,0,529,42691,22,12,48,1,0,5,0,0
0,414,32491,28,12,20,1,0,1,0,382,34098,20,12,34,1,0,1,0,1
0,425,36100,40,18,16,0,1,3,0,436,33579,16,18,26,1,0,0,0,1
0,421,37687,60,23,11,2,1,2,0,419,33799,11,23,39,1,0,2,0,1
0,397,34542,35,14,27,0,0,1,0,445,41975,27,14,31,2,1,5,0,0
0,423,40020,44,26,18,2,1,3,0,483,39193,18,26,97,0,0,3,0,1
0,436,38677,72,24,13,1,0,3,0,430,34760,13,24,39,2,1,1,0,1
0,455,35238,46,11,14,0,0,2,0,430,33666,14,11,44,1,1,2,0,1
0,390,36370,28,21,20,2,0,2,0,397,35992,20,21,35,0,1,3,0,1
0,422,32217,72,12,22,1,0,1,0,491,40695,22,12,59,1,1,5,0,0
0,374,37677,24,22,30,0,0,1,0,391,40172,30,22,32,2,1,4,0,0
0,394,35006,100,17,18,2,0,1,0,370,33488,18,17,146,0,1,3,0,0
0,595,42746,30,16,15,1,0,5,0,500,35009,15,16,37,1,0,0,0,1
0,328,28027,52,8,22,0,0,0,0,421,36942,22,8,38,2,1,4,0,0
0,407,40688,40,33,12,0,1,3,0,394,32942,12,33,217,1,0,3,0,1
0,445,37375,34,21,25,1,0,1,0,448,41589,25,21,36,1,1,5,0,0
0,344,34282,34,17,12,1,1,1,0,399,32141,12,17,36,1,0,3,0,1
0,410,31221,39,8,19,0,0,0,0,469,38412,19,8,56,2,1,5,0,0
0,362,32885,30,16,27,1,0,0,0,465,46659,27,16,36,2,0,9,2,0
