,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
6710,2248,True,False,False,1086,25,39,29,70941,69800,22,79,217,6,0,3,1,1,1,1311,39,25,69,83968,76900,24,60,165,10,1,3,5,1,0
6711,1557,False,False,True,772,39,18,59,59079,52958,8,58,117,7,1,4,2,1,0,691,18,39,28,47386,46383,15,35,79,3,0,0,4,0,1
6712,2425,False,False,False,1081,26,45,37,72066,68170,18,81,204,6,0,0,3,0,0,1014,45,26,61,82793,74199,28,83,223,10,3,6,0,2,1
6713,2595,False,False,True,1080,64,46,83,93388,82450,29,108,247,9,1,5,3,0,1,1083,46,64,72,89916,87925,27,89,214,9,2,1,3,1,0
6714,2038,True,False,True,853,59,46,108,78376,70908,16,62,151,9,4,2,0,2,1,893,46,59,87,73280,67758,20,71,181,4,0,3,3,0,0
6715,1598,False,False,True,784,25,20,37,53852,47425,10,57,120,9,2,2,6,1,1,770,20,25,23,45915,43425,21,50,122,2,0,1,0,0,0
6716,1984,False,False,True,1060,55,40,79,81919,74175,31,69,206,10,2,3,0,2,1,931,40,55,63,73301,71010,24,88,185,5,0,2,3,0,0
6717,1711,False,False,False,804,15,19,20,48868,47035,10,59,119,3,0,2,1,0,0,1051,19,15,21,60634,55035,17,63,157,11,3,2,5,1,1
6718,1719,False,False,True,830,45,28,60,66961,63763,41,69,161,11,3,1,3,1,0,740,28,46,33,55135,52220,25,67,127,2,0,3,0,0,1
6719,2441,True,False,True,1096,39,32,62,80950,75235,27,95,231,9,2,3,5,2,1,977,32,39,57,74220,69975,15,90,261,7,1,3,1,1,0
